Title,Author,Conference Name (Book Title),Year,Abstract,url,Keywords,Source_File
ADMP-GNN: Adaptive Depth Message Passing GNN,"Abbahaddou, Yassine and Malliaros, Fragkiskos D. and Lutzeyer, Johannes F. and Vazirgiannis, Michalis",CIKM,2025,"Graph Neural Networks (GNNs) have proven to be highly effective in various graph learning tasks. A key characteristic of GNNs is their use of a fixed number of message-passing steps for all nodes in the graph, regardless of each node's diverse computational needs and characteristics. Through empirical real-world data analysis, we demonstrate that the optimal number of message-passing layers varies for nodes with different characteristics. This finding is further supported by experiments conducted on synthetic datasets. To address this, we propose Adaptive Depth Message Passing GNN (ADMP-GNN), a novel framework that dynamically adjusts the number of message passing layers for each node, resulting in improved performance. This approach applies to any model that follows the message passing scheme. We evaluate ADMP-GNN on the node classification task and observe performance improvements over baseline GNN models. Our code is publicly available at: https://github.com/abbahaddou/ADMP-GNN",https://doi.org/10.1145/3746252.3761009,"adaptive neural networks, graph neural networks",cikm2025.bib
EvenOddML: Even and Odd Aggregation with Multi-Level Contrastive Learning for Bipartite Graph,"Aggarwal, Manasvi and Methukumalli, Jahnavi and Bagotia, Deepanshu and Powar, Suhas",CIKM,2025,"Bipartite graphs, which model relationships between two distinct entity types, are common in various applications. Existing bipartite graph neural networks (GNNs) often fail to capture both local and global structures and inadequately consider the indirect and direct influences from same-type nodes, leading to suboptimal performance. To address these issues, we propose the EvenOddML model, a contrastive learning based node representation learning module for bipartite graphs. The model comprises an Even-Odd encoder (an even-N-odd aggregation module) that aggregates information from immediate neighbors as well as 2-hop neighbors, both directly and indirectly. We also introduce a novel three-level contrastive learning framework (Layer Level, Type-Global Level, and Network- Global Level) that hierarchically maximizes mutual information by integrating local and global information at various scales. We evaluate EvenOddML on recommendation and link prediction tasks, showing its effectiveness over state-of-the-art methods in bipartite graph representation learning.",https://doi.org/10.1145/3746252.3761271,"bipartite graph, graph neural network, graph representation learning, link prediction, recommendation",cikm2025.bib
"Quantization Aware Matryoshka Adaptation: Leveraging Matryoshka Learning, Quantization, and Bitwise Operations for Reduced Storage and Improved Retrieval Speed","Ahemad, Faizan",CIKM,2025,"We introduce Quantization Aware Matryoshka Adaptation (QAMA), a unified framework for creating compact yet semantically rich embeddings through Matryoshka Representation Learning and multi-level quantization. Our approach learns nested embeddings that gracefully shrink to smaller dimensional subsets and leverages bitwise operations (XOR, NOT, POPCOUNT) for efficient retrieval. By augmenting transformer-based encoders with lightweight feedforward layers and specialized regularization (Matryoshka Loss, Orthogonality, Information Bottleneck, and Quantization Loss), we produce quantization-friendly representations that preserve essential information in early dimensions. We explore 0.5-bit, 1-bit, 1.5-bit, and 2-bit quantization levels, as well as a Hybrid Quantization scheme that adaptively allocates higher precision to dimensions with greater information content. Across extensive evaluations on Modern BERT (MB) and MiniLM models, 2-bit quantization and Hybrid Quant consistently recover up to 95--98\% of the original full-precision (FP32) performance while reducing memory usage by over 90\%. Even at low embedding dimensions (e.g., 96--192), QAMA's hierarchical training ensures that performance remains surprisingly robust, highlighting the effectiveness of our bit-level expansions and nested representation learning. Our proposed end-to-end training with quantization-aware loss yields embeddings that map cleanly into discrete levels, supporting rapid Hamming distance calculations for semantic similarity search. \% using bitwise operations. Our framework QAMA offers a practical means to optimize embedding storage and retrieval speed for information retrieval systems.",https://doi.org/10.1145/3746252.3761077,"embedding compression, embedding quantization, hierarchical embeddings, information retrieval",cikm2025.bib
Efficient Knowledge Transfer from Large to Small Language Models via Low-Overhead Query Mechanism,"Ahemad, Faizan",CIKM,2025,"Small language models offer computational efficiency but often lack the performance of larger models. We introduce a novel query mechanism enabling small models to efficiently extract knowledge from large models during inference. Our approach executes the large model on a single vector prompt, significantly reducing computational overhead compared to full model execution.Using a 1B-parameter Llama 3.2 as the small model and 3B/8B Llama models as knowledge sources, we evaluate on 20 diverse benchmarks spanning reasoning, factual recall, and reading comprehension tasks. Our best method achieves substantial improvements over the small model baseline, with particularly strong gains on factual memory tasks (average +114.9\% relative improvement). Notable results include improvements on TriviaQA (74.4\% vs 35.4\% baseline), Freebase Questions (42.5\% vs 14.6\%), and Natural Questions (34.9\% vs 12.6\%). Our approach consistently outperforms traditional fine-tuning methods while maintaining efficiency, achieving improvements of over 41\% across multiple tasks while incurring only 31\% additional compute over the 1B baseline.",https://doi.org/10.1145/3746252.3761417,"efficient llm inference, factual memory, information retrieval from large language models, large language models, online knowledge transfer, query mechanism",cikm2025.bib
Mixed data k-Anonymization by Consistent Maximal Association and Microaggregation,"Ah-Pine, Julien and Gbenro, Nathaniel",CIKM,2025,"This paper addresses the challenge of anonymizing mixed data, comprising both categorical (qualitative) and numerical (continuous) variables, while preserving data utility. The inherent heterogeneity of such data complicates the use of traditional anonymization methods. To overcome this limitation, we propose a novel microaggregation-based framework for k-anonymization that integrates statistical association measures applicable to both variable types, ensuring a coherent and consistent treatment. Our approach, called Mix-R 2, relies on a unified set of core concepts grounded in analysis of variance, enabling the application of a common methodology to both categorical and numerical attributes. By leveraging these consistent association measures, the framework improves the robustness of the k-anonymization process, delivering strong privacy protection while maintaining high data utility. Numerical experiments on benchmark datasets demonstrate the effectiveness and advantages of our method, highlighting its contribution to privacy-preserving analysis of mixed-type data.",https://doi.org/10.1145/3746252.3761293,"data privacy, k-anonymization, microaggregation, mixed-type data",cikm2025.bib
LLM-Powered Information Extraction for the Dairy Financial Domain: Tackling Data Scarcity and Ambiguity,"An, Chunyan and Huang, Yuying and Yang, Qiang and Yuan, Siyu and Li, Zhixu",CIKM,2025,"Information extraction is a critical technology for intelligent analysis and risk assessment in the dairy financial domain. However, real-world applications face three major challenges: the complexity and diversity of entity-relation types, significant data imbalance, and ambiguity in textual expressions. Traditional methods often fail to capture rare patterns, struggle with vague mentions, and exhibit poor generalization in low-resource settings. To address these issues, we propose a novel framework that integrates large language models (LLMs) with targeted data augmentation and agent-based retrieval-augmented generation (RAG). Our approach builds on the BaiChuan2 model, which is first adapted to the dairy finance domain via secondary pretraining. We introduce a two-stage data augmentation strategy: the first stage uses ChatGPT to generate pseudo-samples for rare types, and the second stage refines model weaknesses based on prediction-guided feedback. These augmented datasets are used to fine-tune the model through prompt-based supervised learning with LoRA. To further enhance robustness, we incorporate an agent-based RAG module for completing vague or underspecified entities by retrieving external contextual knowledge. Extensive experiments demonstrate that our framework achieves state-of-the-art performance, with the improved metric, i.e., F1+ scores, of 0.876 and 0.824 for entity recognition and relation extraction, respectively. The RAG component boosts entity completion accuracy to 0.802 while reducing retrieval latency by over 6x, showcasing both the effectiveness and practicality of our method in real-world dairy financial applications.",https://doi.org/10.1145/3746252.3761030,"agent learning, data augmentation, ie, llms",cikm2025.bib
RELINK: Edge Activation for Closed Network Influence Maximization via Deep Reinforcement Learning,"Arya, Shivvrat and Ghosh, Smita and Maruyama, Bryan and Srinivasan, Venkatesh",CIKM,2025,"Influence Maximization aims to select a subset of elements in a social network to maximize information spread under a diffusion model. While existing work primarily focuses on selecting influential nodes, these approaches assume unrestricted message propagation-an assumption that fails in closed social networks, where content visibility is constrained and node-level activations may be infeasible. Motivated by the growing adoption of privacy-focused platforms such as Signal, Discord, Instagram, and Slack, our work addresses the following fundamental question: How can we learn effective edge activation strategies for influence maximization in closed networks? To answer this question we introduce Reinforcement Learning for Link Activation (RELINK), the first DRL framework for edge-level influence maximization in privacy-constrained networks. It models edge selection as a Markov Decision Process, where the agent learns to activate edges under budget constraints. Unlike prior node-based DRL methods, RELINK uses an edge-centric Q-learning approach that accounts for structural constraints and constrained information propagation. Our framework combines a rich node embedding pipeline with an edge-aware aggregation module. The agent is trained using an n-step Double DQN objective, guided by dense reward signals that capture marginal gains in influence spread. Extensive experiments on real-world networks show that RELINK consistently outperforms existing edge-based methods, achieving up to 15\% higher influence spread and improved scalability across diverse settings.",https://doi.org/10.1145/3746252.3761006,"closed networks, deep reinforcement learning, edge selection, influence maximization, social network analysis",cikm2025.bib
Learning Global-Local Multi-Scale Node Embeddings with Random Walks and Landmark-Guided Optimization,"Assi, Ali and Karabadji, Nour Elislem and Elati, Mohamed and Dhifli, Wajdi",CIKM,2025,"Learning low-dimensional representations for nodes is fundamental to various graph learning tasks. Existing approaches often struggle to comprehensively capture the connections between local structure, contextual information, and global node positioning in the graph. This paper introduces GLOW, a novel approach for node representation learning that jointly maximizes the likelihood of preserving these crucial aspects of the graph structure. GLOW integrates 1) local structural and contextual information, captured through random walks, with 2) global node positioning, approximated using a set of selected landmark nodes. This strategy allows GLOW to learn node embeddings that are structurally aware and informative for downstream tasks. We evaluate GLOW's performance on several benchmark datasets for node classification and link prediction, and compare it to a wide range of established baseline methods. The obtained results consistently demonstrate that GLOW achieves substantial performance improvements. This highlights the advantages of integrating local and global structural learning in effectively capturing graph structure and generating highly resilient node embeddings.",https://doi.org/10.1145/3746252.3761351,"knowledge graph, link prediction, node classification, node embedding, random walk, representation learning",cikm2025.bib
Dynamic Triangulation-Based Graph Rewiring for Graph Neural Networks,"Attali, Hugo and Papastergiou, Thomas and Pernelle, Nathalie and Malliaros, Fragkiskos D.",CIKM,2025,"Graph Neural Networks (GNNs) have emerged as the leading paradigm for learning over graph-structured data. However, their performance is limited by issues inherent to graph topology, most notably oversquashing and oversmoothing. Recent advances in graph rewiring aim to mitigate these limitations by modifying the graph topology to promote more effective information propagation. In this work, we introduce TRIGON, a novel framework that constructs enriched, non-planar triangulations by learning to select relevant triangles from multiple graph views. By jointly optimizing triangle selection and downstream classification performance, our method produces a rewired graph with markedly improved structural properties such as reduced diameter, increased spectral gap, and lower effective resistance compared to existing rewiring methods. Empirical results demonstrate that TRIGON outperforms state-of-the-art approaches on node classification tasks across a range of homophilic and heterophilic benchmarks.",https://doi.org/10.1145/3746252.3760998,"graph neural networks, graph rewiring, graph triangulation",cikm2025.bib
Extreme Multi-Label Completion for Semantic Document Tagging with Taxonomy-Aware Parallel Learning,"Audiffren, Julien and Broillet, Christophe and Dolamic, Ljiljana and Cudr\'{e}-Mauroux, Philippe",CIKM,2025,"The objective of Extreme Multi-Label Completion (XMLCo) is to predict missing document labels drawn from a very large collection. Together with Extreme Multi-Label Classification (XMLC), XMLCo is arguably one of the most challenging document classification tasks, as the number of potential labels is generally very large compared to the number of labeled documents. The collection of labels is often structured in a taxonomy that encodes relationships between labels, and many methods have been proposed to leverage this hierarchy to improve XMLCo algorithms. In this paper, we propose a new approach to this problem: TAMLEC (Taxonomy-Aware Multi-task Learning for Extreme multi-label Completion). TAMLEC divides the problem into several Taxonomy-Aware Tasks, i.e. into specific subsets of the labels drawn from paths in the taxonomy, and trains on these tasks using a dynamic Parallel Feature sharing approach where parts of the model are shared between tasks while others are task-specific. Then, at inference time, TAMLEC uses the labels available in a document to predict missing labels, using the Weak-Semilattice structure that is naturally induced by the tasks. Our empirical evaluation on real-world datasets shows that TAMLEC substantially outperforms the state-of-the-art in XMLCo. Furthermore, additional experiments show that TAMLEC is particularly suited for few-shot settings, where new tasks or labels are introduced with only few examples after initial training.",https://doi.org/10.1145/3746252.3761233,"document tagging, extreme multi label completion, parallel feature sharing, taxonomies, transformers",cikm2025.bib
