Title,Author,Conference Name (Book Title),Year,Abstract,url,Keywords,Source_File
The Surprising Victory of NLP: From Philosophy to Agentic Language Models,"Manning, Christopher D.",KDD,2025,"Language Models have been around for decades but have suddenly taken the world by storm. In a surprising third act for anyone doing Natural Language Processing (NLP) in the 70s, 80s, 90s, or 2000s, in much of the popular media, artificial intelligence is now synonymous with language models. In this talk, I want to take a look backward at where language models came from and why they were so slow to emerge, a look inward to give a few thoughts on meaning, intelligence, and what language models understand and know, and a look forward at some topics of recent research: the possibilities for progress with new versions of Universal Transformers and using Large Language Models (LLMs) to build intelligent language-using agents for the digital world. I will argue that material beyond language is not necessary to having meaning and understanding, but it is very useful in most cases, and that composability, adaptability, and learning are vital to intelligence. Rather than simply continuing to build ever-larger LLMs from huge passive collections of text data, we need to explore developing better neural architectures and agents that can learn through interactions. I will discuss how web agents can learn through interactions and how such an interaction-first learning approach can work very effectively in web environments with relatively small language models.",https://doi.org/10.1145/3711896.3736801,"agents, intelligence, language models, meaning, universal transformers",kdd2025.bib
"On Reasoning LLMs: Myths, Merits, and How to Move Forward","Roth, Dan",KDD,2025,"The rapid progress made over the last few years in generating linguistically coherent natural language has blurred, in the mind of many, the difference between natural language generation, understanding, knowledge retrieval and use, and the ability to reason with respect to the world. Nevertheless, reliably and consistently supporting high-level decisions that depend on natural language understanding and heterogenous information retrieval is still difficult, mostly, but not only, since most of these tasks are computationally more complex than language models can support. I will discuss some of the challenges underlying reasoning and information access and argue that we should exploit what LLMs do well while delegating responsibility to special purpose models and solvers for decision making. I will present some of our work in this space, focusing on supporting reasoning and information access in a range of quantitative, visual, and spatial reasoning tasks.",https://doi.org/10.1145/3711896.3736800,"agentic ai, information retrieval and rag systems, large language models, multimodal reasoning, reasoning",kdd2025.bib
Causality - Exploiting Multi-Modal Data,"Uhler, Caroline",KDD,2025,"Massive data collection holds the promise of a better understanding of complex phenomena and ultimately, of better decisions. Representation learning has become a key driver of deep learning applications, since it allows learning latent spaces that capture important properties of the data without requiring any supervised annotations. While representation learning has been hugely successful in predictive tasks, it can fail miserably in causal tasks including predicting the effect of an intervention. This calls for a marriage between representation learning and causal inference. An exciting opportunity in this regard stems from the growing availability of multi-modal and interventional data (in medicine, advertisement, education, etc.). However, these datasets are still miniscule compared to the action spaces of interest in these applications (e.g. interventions can take on continuous values like the dose of a drug or can be combinatorial as in combinatorial drug therapies). In this talk, we will present a statistical and computational framework for causal representation learning from multi-modal data and its application towards optimal intervention design.",https://doi.org/10.1145/3711896.3736799,"causal inference, multi-modal learning, optimal design of interventions, representation learning",kdd2025.bib
K-Paths: Reasoning over Graph Paths for Drug Repurposing and Drug Interaction Prediction,"Abdullahi, Tassallah and Gemou, Ioanna and Nayak, Nihal V. and Murtaza, Ghulam and Bach, Stephen H. and Eickhoff, Carsten and Singh, Ritambhara",KDD,2025,"Biomedical knowledge graphs (KGs) encode rich, structured information critical for drug discovery tasks, but extracting meaningful insights from large-scale KGs remains challenging due to their complex structure. Existing biomedical subgraph retrieval methods are tailored for graph neural networks (GNNs), limiting compatibility with other paradigms, including large language models (LLMs). We introduce K-Paths, a model-agnostic retrieval framework that extracts structured, diverse, and biologically meaningful multi-hop paths from dense biomedical KGs. These paths enable prediction of unobserved drug-drug and drug-disease interactions, including those involving entities not seen during training, thus supporting inductive reasoning. K-Paths is training-free and employs a diversity-aware adaptation of Yen's algorithm to extract the K shortest loopless paths between entities in a query, prioritizing biologically relevant and relationally diverse connections. These paths serve as concise, interpretable reasoning chains that can be directly integrated with LLMs or GNNs to improve generalization, accuracy, and enable explainable inference. Experiments on benchmark datasets show that K-Paths improves zero-shot reasoning across state-of-the-art LLMs. For instance, Tx-Gemma 27B improves by 19.8 and 4.0 F1 points on interaction severity prediction and drug repurposing tasks, respectively. Llama 70B achieves gains of 8.5 and 6.2 points on the same tasks. K-Paths also boosts the training efficiency of EmerGNN, a state-of-the-art GNN, by reducing the KG size by 90\% while maintaining predictive performance. Beyond efficiency, K-Paths bridges the gap between KGs and LLMs, enabling scalable and explainable LLM-augmented scientific discovery. We release our code and the retrieved paths as a benchmark for inductive reasoning.",https://doi.org/10.1145/3711896.3737011,"drug discovery, explainability, gnns, inductive reasoning, knowledge graph reasoning, llms",kdd2025.bib
Fair Diversity Maximization with Few Representatives,"Adriaens, Florian and Tatti, Nikolaj",KDD,2025,"Diversity maximization problem is a well-studied problem where the goal is to find k diverse items. Fair diversity maximization aims to select a diverse subset of k items from a large dataset, while requiring that each group of items be well represented in the output. More formally, given a set of items with labels, our goal is to find k items that maximize the minimum pairwise distance in the set, while maintaining that each label is represented within some budget. In many cases, one is only interested in selecting a handful (say a constant) number of items from each group. In such scenario we show that a randomized algorithm based on padded decompositions improves the state-of-the-art approximation ratio to √log(m) /(3m), where m is the number of labels. The algorithms work in several stages: (i) a preprocessing pruning which ensures that points with the same label are far away from each other(ii) a decomposition phase, where points are randomly placed in clusters such that there is a feasible solution with maximum one point per cluster and that any feasible solution will be diverse(iii) assignment phase, where clusters are assigned to labels, and a representative point with the corresponding label is selected from each cluster. We experimentally verify the effectiveness of our algorithm on large datasets.",https://doi.org/10.1145/3711896.3736950,"fairness, max-min diversification, padded decompositions, randomized algorithms",kdd2025.bib
Separating Graph Generative Models via Degree Distributions,"Alabi, Daniel and Kalimeris, Dimitris",KDD,2025,"We analyze the power and limitations of a family of graph generative models, including the original Stochastic Kronecker Graph (SKG) models, often used to ensure privacy of network data. The SKG model cannot always generate graphs with degree distribution that follows a power-law or log-normal distribution (Seshadhri, Pinar, and Kolda, J. ACM 2013). As a result, variants of the SKG model have been proposed to generate graphs which approximately follow degree distributions, without any significant oscillations. But all existing solutions either require significant additional parameterization or have no provable guarantees on important properties, such as the degree distribution. In this work, we analyze a novel and efficient set of models, Relative Prime Stochastic Kronecker Graphs (RPSKG), which can get rid of oscillations in the degree distribution by mixing initiator matrices of relative prime dimensions without additional parameters. The use of 3x3 initiator matrices alone cannot eliminate significant oscillations. We prove that such matrices result in degree distribution that is bounded above by an exponential tail and thus cannot result in a power-law or log-normal.",https://doi.org/10.1145/3711896.3737124,"degree distributions, graph generation, graph theory",kdd2025.bib
DiSa: Directional Saliency-Aware Prompt Learning for Generalizable Vision-Language Models,"Alipour Talemi, Niloufar and Kashiani, Hossein and Nowdeh, Hossein R. and Afghah, Fatemeh",KDD,2025,"Prompt learning has emerged as a powerful paradigm for adapting vision-language models such as CLIP to downstream tasks. However, existing methods often overfit to seen data, leading to significant performance degradation when generalizing to novel classes or unseen domains. To address this limitation, we propose DiSa, a Directional Saliency-Aware Prompt Learning framework that integrates two complementary regularization strategies to enhance generalization. First, our Cross-Interactive Regularization (CIR) fosters cross-modal alignment by enabling cooperative learning between prompted and frozen encoders. Within CIR, a saliency-aware masking strategy guides the image encoder to prioritize semantically critical image regions, reducing reliance on less informative patches. Second, we introduce a directional regularization strategy that aligns visual embeddings with class-wise prototype features in a directional manner to prioritize consistency in feature orientation over strict proximity. This approach ensures robust generalization by leveraging stable prototype directions derived from class-mean statistics. Extensive evaluations on 11 diverse image classification benchmarks demonstrate that DiSa consistently outperforms state-of-the-art prompt learning methods across various settings, including base-to-novel generalization, cross-dataset transfer, domain generalization, and few-shot learning.",https://doi.org/10.1145/3711896.3736911,"domain generalization, few-shot learning, prompt learning, vision-language models",kdd2025.bib
GRAND : Graph Reconstruction from Potential Partial Adjacency and Neighborhood Data,"Azogagh, Sofiane and Birba, Zelma Aubin and Desharnais, Jos\'{e}e and Gambs, S\'{e}bastien and Killijian, Marc-Olivier and Tawbi, Nadia",KDD,2025,"Cryptographic approaches, such as secure multiparty computation, can be used to securely compute a function of a distributed graph without centralizing the data of each participant. However, the output of the protocol can leak sensitive information about the structure of the original graph. In particular, we propose an approach by which an adversary observing the result of a private protocol for the computation of the number of common neighbors between all pairs of vertices, can reconstruct the adjacency matrix of the graph. In fact, this can only be done up to co-squareness, a notion we introduce, as two different graphs can have the same matrix of common neighbors. To realize this, we consider two adversary models, one who observes the common neighbors matrix only and a more informed one that has partial knowledge of the original graph. Our results demonstrate that, from their common neighbors matrix, graphs can be reconstructed with high accuracy (up to co-squareness). The proposed reconstruction is also interesting in itself from the point of view of graph theory.",https://doi.org/10.1145/3711896.3736988,"common neighbor matrix, edge prediction, graph reconstruction, private computing",kdd2025.bib
"FlexGNN: A High-Performance, Large-Scale Full-Graph GNN System with Best-Effort Training Plan Optimization","Bae, Jeongmin and Han, Donghyoung and Kim, Min-Soo",KDD,2025,"Recently, full-graph Graph Neural Networks (GNNs) have gained prominence by addressing complex problems such as weather forecasting and material discovery. Existing full-graph training methods do not fully manage intermediate data generated during training and rely on rigid inter-GPU communication, limiting both training speed and scale. We propose FlexGNN, which fully manages intermediate data and adaptively performs inter-GPU communication by generating and optimizing best-effort training execution plans. Extensive experiments demonstrate that FlexGNN significantly outperforms existing full-graph GNN methods in both training speed and scale. Specifically, it is up to 5.4X faster than HongTu and up to 95.5X faster than NeutronStar.",https://doi.org/10.1145/3711896.3736964,"best-effort optimization, full-graph gnn, intermediate data, training execution plan",kdd2025.bib
A Unified Solution to Diverse Heterogeneities in One-Shot Federated Learning,"Bai, Jun and Song, Yiliao and Wu, Di and Sajjanhar, Atul and Xiang, Yong and Zhou, Wei and Tao, Xiaohui and Li, Yan and Li, Yue",KDD,2025,"One-Shot Federated Learning (OSFL) restricts communication between the server and clients to a single round, significantly reducing communication costs and minimizing privacy leakage risks compared to traditional Federated Learning (FL), which requires multiple rounds of communication. However, existing OSFL frameworks remain vulnerable to distributional heterogeneity, as they primarily focus on model heterogeneity while neglecting data heterogeneity. To bridge this gap, we propose FedHydra, a unified, data-free, OSFL framework designed to effectively address both model and data heterogeneity. Unlike existing OSFL approaches, FedHydra introduces a novel two-stage learning mechanism. Specifically, it incorporates model stratification and heterogeneity-aware stratified aggregation to mitigate the challenges posed by both model and data heterogeneity. By this design, the data and model heterogeneity issues are simultaneously monitored from different aspects during learning. Consequently, FedHydra can effectively mitigate both issues by minimizing their inherent conflicts. We compared FedHydra with five SOTA baselines on four benchmark datasets. Experimental results show that our method outperforms the previous OSFL methods in both homogeneous and heterogeneous settings. The code is available at https://github.com/Jun-B0518/FedHydra.",https://doi.org/10.1145/3711896.3736825,"data heterogeneity, data-free knowledge distillation, model heterogeneity, one-shot federated learning",kdd2025.bib
